Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S001,Adeje,,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S001,Adeje,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S002,Adeje,5,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S002,Adeje,8,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S003,Adeje,4,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S003,Adeje,10,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S004,Adeje,9,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S004,Adeje,22,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S005,Adeje,11,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S005,Adeje,36,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S006,Adeje,8,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S006,Adeje,18,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S007,Adeje,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S007,Adeje,9,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S008,Adeje,3,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S008,Adeje,4,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S009,Adeje,3,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S009,Adeje,6,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S010,Adeje,5,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S010,Adeje,5,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S011,Adeje,11,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S011,Adeje,35,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S012,Adeje,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S012,Adeje,10,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S013,Adeje,3,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S013,Adeje,4,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S014,Adeje,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S014,Adeje,8,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S015,Adeje,5,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S015,Adeje,7,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S016,Adeje,3,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S016,Adeje,5,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S017,Adeje,4,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S017,Adeje,10,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S018,Adeje,0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S018,Adeje,3,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S001,Adeje,,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S001,Adeje,3,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S002,Adeje,4,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S002,Adeje,5,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S003,Adeje,6,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S003,Adeje,12,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S004,Adeje,14,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S004,Adeje,20,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S005,Adeje,17,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S005,Adeje,36,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S006,Adeje,12,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S006,Adeje,23,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S007,Adeje,3,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S007,Adeje,15,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S008,Adeje,3,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S008,Adeje,4,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S009,Adeje,3,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S009,Adeje,4,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S010,Adeje,4,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S010,Adeje,5,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S011,Adeje,12,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S011,Adeje,31,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S012,Adeje,2,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S012,Adeje,13,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S013,Adeje,1,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S013,Adeje,7,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S014,Adeje,1,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S014,Adeje,10,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S015,Adeje,5,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S015,Adeje,7,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S016,Adeje,4,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S016,Adeje,6,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S017,Adeje,4,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S017,Adeje,12,2022,Santa Cruz de Tenerife,Hombres
