año,distrito,MEDIDAS_CODE,MEDIDAS#es,municipio,OBS_VALUE,seccion,TERRITORIO_CODE
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"1,9",011,20220101_38001_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"1,9",018,20220101_38001_D01_S018
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"2,4",008,20220101_38001_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"2,4",009,20220101_38001_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"2,5",007,20220101_38001_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"2,7",013,20220101_38001_D01_S013
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3,003,20220101_38001_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,2",017,20220101_38001_D01_S017
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,3",005,20220101_38001_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,3",010,20220101_38001_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,4",012,20220101_38001_D01_S012
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,5",001,20220101_38001_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,8",014,20220101_38001_D01_S014
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,8",015,20220101_38001_D01_S015
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"3,9",016,20220101_38001_D01_S016
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"4,1",006,20220101_38001_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"4,6",002,20220101_38001_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,"4,8",004,20220101_38001_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,"5,7",002,20220101_35001_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,"5,7",005,20220101_35001_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,"5,8",001,20220101_35001_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,"6,9",003,20220101_35001_D01_S003
