año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S001,01,001, Adeje,31387
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S002,01,002, Adeje,28541
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S003,01,003, Adeje,33268
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S004,01,004, Adeje,27259
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S005,01,005, Adeje,34744
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S006,01,006, Adeje,30198
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S007,01,007, Adeje,20584
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S008,01,008, Adeje,25436
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S009,01,009, Adeje,44746
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S010,01,010, Adeje,48813
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S011,01,011, Adeje,20844
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S012,01,012, Adeje,34886
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S013,01,013, Adeje,33821
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S014,01,014, Adeje,29224
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S015,01,015, Adeje,28141
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S016,01,016, Adeje,32779
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S017,01,017, Adeje,23792
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S018,01,018, Adeje,31913
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38002_D01_S001,01,001, Agulo,29977
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38003_D01_S001,01,001, Alajeró,30406
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38004_D01_S001,01,001, Arafo,36419
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38004_D01_S002,01,002, Arafo,35062
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38004_D01_S003,01,003, Arafo,39797
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S001,01,001, Arico,26088
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S002,01,002, Arico,28734
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S003,01,003, Arico,29046
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S004,01,004, Arico,29258
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S005,01,005, Arico,25533
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S006,01,006, Arico,30000
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S001,01,001, Arona,34966
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S002,01,002, Arona,36386
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S003,01,003, Arona,31388
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S004,01,004, Arona,28767
